,CSA2010,trees17,racdiv21,viol21,salepr19
0,Allendale/Irvington/S. Hilton,32.3729128252428,24.60478868,17.26463448,77250.0
1,Beechfield/Ten Hills/West Hills,48.6969738536408,52.41249382,11.0072002,149000.0
2,Belair-Edison,20.8271249244012,23.82683619,16.83791846,89758.0
3,Brooklyn/Curtis Bay/Hawkins Point,14.6318577979818,80.86074465,18.02804362,57000.0
4,Canton,12.5166188501406,40.50451425,6.796941376,275000.0
5,Cedonia/Frankford,29.9136036708748,33.83350905,12.20218214,138500.0
6,Cherry Hill,20.8275501953477,25.44132261,22.27854856,49000.0
7,Chinquapin Park/Belvedere,39.5494225424018,49.89893833,6.787643718,159900.0
8,Claremont/Armistead,29.3814043473004,66.00720741,15.66637246,130000.0
9,Clifton-Berea,8.62583131635551,24.1964917,36.95393955,48000.0
10,Cross-Country/Cheswolde,47.528356167782,51.17039163,2.497540301,170000.0
11,Dickeyville/Franklintown,72.9163135348242,26.15830042,10.07625272,234000.0
12,Dorchester/Ashburton,29.5530191819181,16.84559786,16.18618906,141500.0
13,Downtown/Seton Hill,7.35769776425148,69.44089051,53.76799323,199500.0
14,Edmondson Village,54.9439182648983,9.910416846,9.868884816,112000.0
15,Fells Point,8.65077960682772,51.66476638,11.09231058,244797.5
16,Forest Park/Walbrook,53.1119646107924,14.98668832,14.53426692,153625.0
17,Glen-Fallstaff,27.9370179953021,55.65070151,12.76126095,131050.0
18,Greater Charles Village/Barclay,23.2709117110182,67.85144774,16.58404155,199900.0
19,Greater Govans,31.607310411063,23.91287758,14.07276139,89758.0
20,Greater Mondawmin,21.4574987687235,9.53408706,22.11159991,99990.0
21,Greater Roland Park/Poplar Hill,59.767093971074,58.58415837,2.059590828,235000.0
22,Greater Rosemont,26.6251080826544,7.885083622,22.98165441,55000.0
23,Greenmount East,13.7453724703289,16.0716658,23.43637671,57000.0
24,Hamilton,34.8422893116031,48.67431825,8.231781131,169000.0
25,Harbor East/Little Italy,7.32308964500335,63.28183771,24.07002188,304500.0
26,Harford/Echodale,29.5970309161524,55.69819591,6.686930091,177000.0
27,Highlandtown,4.14701364489258,51.1203262,16.55328798,264750.0
28,Howard Park/West Arlington,38.3363363879341,17.2482017,10.76070744,175300.0
29,Inner Harbor/Federal Hill,9.88681464420267,43.41550237,10.90981222,260000.0
30,Lauraville,40.3359826923609,57.12940283,8.742493818,162000.0
31,Loch Raven,32.2212976148564,34.27881238,9.321375609,143100.0
32,Madison/East End,6.33714104789079,44.5464337,34.30165764,120000.0
33,Medfield/Hampden/Woodberry/Remington,32.4854727953352,40.79913608,10.94005526,220000.0
34,Midtown,13.8293860159574,64.8998241,16.60915843,240000.0
35,Midway/Coldstream,12.6513496753898,5.799199534,27.59366969,80000.0
36,Morrell Park/Violetville,25.8242011707624,59.59882522,21.85345331,91000.0
37,Mount Washington/Coldspring,66.6179090117268,56.72220801,2.936096718,305000.0
38,North Baltimore/Guilford/Homeland,50.4042058656191,61.65302772,2.609781005,367250.0
39,Northwood,27.9317200203979,39.83470588,11.49108925,144900.0
40,Oldtown/Middle East,10.1496352917164,36.01591102,29.07383355,159500.0
41,Orangeville/East Highlandtown,12.1740891345782,74.06296105,22.51782299,160000.0
42,Patterson Park North & East,6.45356373072198,68.51984343,17.24860335,201500.0
43,Penn North/Reservoir Hill,40.4259259501928,28.86344518,22.67096135,95000.0
44,Pimlico/Arlington/Hilltop,22.420099728506,15.77787039,23.14419795,81340.0
45,Poppleton/The Terraces/Hollins Market,15.2956354735242,36.29594315,23.26565144,110000.0
46,Sandtown-Winchester/Harlem Park,16.1691829334169,13.7114166,33.33016808,55000.0
47,South Baltimore,5.8144663991809,28.14819466,4.507797271,295000.0
48,Southeastern,5.08376434869773,80.90666208,17.57235676,100100.0
49,Southern Park Heights,29.1435308941343,25.78489916,20.16885553,60500.0
50,Southwest Baltimore,15.1605427208896,49.46102695,38.06202138,52300.0
51,The Waverlies,20.5023505900283,46.2611189,14.82932289,124000.0
52,Upton/Druid Heights,15.5162372557557,20.99314296,30.84342755,106000.0
53,Washington Village/Pigtown,12.4843562674219,66.51482926,36.23048757,125000.0
54,Westport/Mount Winans/Lakeland,20.9901699357931,79.00166285,19.91181909,55550.0
